Date,Gold_IDR_gram,USDIDR,IHSG
2016-05-30,528743.6096121743,13560.0,4835.8447265625
2016-05-31,532381.869100782,13631.0,4796.68212890625
2016-06-01,531578.5050904577,13643.0,4839.4794921875
2016-06-02,529373.8217419513,13610.0,4833.037109375
2016-06-03,542632.2011260665,13610.0,4853.73291015625
2016-06-06,536918.4327298249,13418.0,4895.83447265625
2016-06-07,533991.5805569949,13347.0,4933.796875
2016-06-08,535739.5549005613,13227.0,4915.86962890625
2016-06-09,539263.7598734744,13205.0,4876.60400390625
2016-06-10,542464.6847938761,13250.0,4847.8671875
2016-06-13,550289.0261656018,13326.0,4807.0390625
2016-06-14,550596.4690398275,13321.0,4821.40234375
2016-06-15,551880.9989826054,13350.0,4814.63671875
2016-06-16,555051.7361327403,13320.0,4814.20361328125
2016-06-17,556252.6725288151,13386.0,4834.955078125
2016-06-20,552937.1292619802,13332.0,4863.341796875
2016-06-21,541229.2828781327,13250.0,4878.52392578125
2016-06-22,540368.1257736267,13255.0,4896.66162109375
2016-06-23,535037.3223499893,13195.0,4874.119140625
2016-06-24,562316.1380552028,13250.0,4834.380859375
2016-06-27,568696.0470686579,13375.0,4835.86328125
2016-06-28,566022.8319502452,13385.0,4881.98095703125
2016-06-29,560146.7462275648,13160.0,4979.9111328125
2016-06-30,556929.5391443524,13139.0,5016.4521484375
2016-07-01,566293.0299352742,13177.0,4971.3876953125
2016-07-04,566293.0299352742,13115.0,4971.3876953125
2016-07-11,570909.2224347742,13105.0,5068.82177734375
2016-07-12,562746.690233816,13120.0,5099.3349609375
2016-07-13,564305.6350318731,13075.0,5133.7333984375
2016-07-14,557071.3950358656,13015.0,5083.34130859375
2016-07-15,555276.0943302201,13020.0,5109.97900390625
2016-07-18,557865.2279935211,13062.0,5127.3017578125
2016-07-19,559852.0102239298,13078.0,5172.62841796875
2016-07-20,555148.1035673361,13093.0,5242.619140625
2016-07-21,560586.5095568023,13105.0,5216.77001953125
2016-07-22,557723.8503675543,13111.0,5197.048828125
